2026-06-11T08:21:59+00:00  heat-1.in  cntrl.dt  0.002 -> 0.001
2026-06-11T08:21:59+00:00  heat-3.in  cntrl.temp0  300.0 -> 310.0
2026-06-11T08:21:59+00:00  press-3.in  cntrl.temp0  300.0 -> 310.0
2026-06-11T08:21:59+00:00  relax.in  cntrl.temp0  300.0 -> 310.0
2026-06-11T08:21:59+00:00  prod.in  cntrl.temp0  300.0 -> 310.0
2026-06-11T08:21:59+00:00  min1.in  cntrl.cut  9.0 -> 7.0
2026-06-11T08:21:59+00:00  min2.in  cntrl.cut  9.0 -> 7.0
2026-06-11T08:21:59+00:00  heat-1.in  cntrl.cut  9.0 -> 7.0
2026-06-11T08:21:59+00:00  heat-2.in  cntrl.cut  9.0 -> 7.0
2026-06-11T08:21:59+00:00  heat-3.in  cntrl.cut  9.0 -> 7.0
2026-06-11T08:21:59+00:00  press-1.in  cntrl.cut  9.0 -> 7.0
2026-06-11T08:21:59+00:00  press-2.in  cntrl.cut  9.0 -> 7.0
2026-06-11T08:21:59+00:00  press-3.in  cntrl.cut  9.0 -> 7.0
2026-06-11T08:21:59+00:00  relax.in  cntrl.cut  9.0 -> 7.0
2026-06-11T08:21:59+00:00  prod.in  cntrl.cut  9.0 -> 7.0
2026-06-11T08:22:00+00:00  press-1.in  cntrl.restraint_wt  5.0 -> 1.0
